reward,viol
-252.71353643435623,9
-201.21523301871002,3
-167.06785314288868,0
-187.4389029186891,0
-183.96461020556717,0
-183.8878958376309,0
-193.56282648261282,1
-190.31828234389735,0
-202.92811155857268,1
-186.3841184502689,0
-198.08001169865966,1
-185.96324819290658,1
-221.87541394765339,5
-215.9765991627797,4
-199.05575408437468,2
-166.89528406601377,0
-182.54318586762082,1
-198.53933409970102,2
-192.089916584539,0
-185.9170989481965,0
-200.5658470787079,2
-174.57839507431507,0
-183.77296817894396,0
-221.4426274865719,3
-178.36128748080714,1
-181.23323308677232,0
-170.36590330439284,0
-204.11441079337303,2
-177.83894142340424,0
-228.60326379571913,5
-182.78754204714997,0
-179.96672131279064,0
-173.8883445266722,0
-199.95390678469894,2
-199.14620686155988,3
-185.90334272897468,0
-186.94745907436072,2
-180.73416547129207,0
-184.99736074654564,1
-176.86585085233233,0
-197.99877839223606,1
-181.08335890148712,1
-195.58729855001042,1
-185.25057984888863,1
-195.22868652343178,1
-183.38120758285504,1
-181.01013025650388,0
-232.44274574504774,7
-200.39306294997067,4
-174.3555880350199,0
-192.97892427263173,2
-215.00660533138392,5
-175.48444096564438,0
-194.27484886248783,2
-173.98024306653164,0
-178.98335384880974,0
-227.3501083468395,6
-173.55453306723996,0
-183.4865882013635,1
-174.76017319860537,0
-165.01451573850147,0
-178.27195724769385,0
-230.66160441160653,6
-203.7213959184937,3
-197.42080667840239,2
-221.17351261232324,4
-199.33031211644942,2
-205.56388416638924,1
-180.70743543203204,0
-184.27946306742055,2
-193.56826216013968,1
-247.80767904302272,9
-183.03854905228448,0
-242.0185208422154,7
-206.92179705850535,3
-189.8936641976027,4
-170.41507938657693,0
-184.43649608055503,0
-269.03832874994924,10
-212.41790670346194,5
-213.57820183208665,5
-179.66469666722418,1
-228.81295191465722,5
-198.0093354424945,3
-174.22882027104802,0
-193.04448798862907,1
-230.71203981294406,6
-180.24516421824785,2
-198.3776191535711,4
-180.6876178135989,0
-172.56973301430492,0
-190.4466339797839,3
-182.653951570187,1
-217.09284887524265,5
-234.03037888190482,7
-179.94997014764385,1
-184.92346463211146,1
-191.4788381223615,0
-183.83367649473493,1
-195.49334454587094,4
-178.07454078418394,1
-204.64904418408236,3
-176.49890170394377,1
-221.49259344494146,6
-210.56400540830725,5
-305.42425991340207,16
-179.13710319446486,1
-190.69479714452973,3
-192.83929196081053,2
-188.90571363856125,0
-182.29064908030963,0
-195.6652261559,2
-222.18394493807412,5
-166.89599756686198,0
-195.33118897831457,2
-190.26856682312845,1
-240.66395461099668,7
-183.69505374573356,1
-182.57125347324836,0
-182.3016996766909,0
-178.65449151768124,0
-232.65034279482742,5
-198.37820100638706,2
-270.26581762745855,11
-182.68537948884,1
-184.58155211587936,1
-208.5213515877863,3
-206.7273449451808,6
-193.32109542107256,4
-163.75128244177765,0
-182.9752767761235,0
-261.79505513913256,9
-177.17239781363634,2
-174.05998994410118,0
-167.81064567909834,0
-214.86533843665808,5
-182.10443050260923,1
-203.8614875490149,3
-210.70080344697,3
-207.1991550515949,3
-170.98315039537135,1
-166.42930509695336,0
-184.31948029053638,2
-195.15146451493158,2
-194.43868338031217,1
-181.13348260317483,1
-182.84149861732902,1
-190.5412830130367,3
-176.29761727797788,2
-210.13788508941676,4
-204.59952937177673,4
-189.9217465542328,1
-237.5728957997579,9
-201.89130927801747,3
-198.69511767397398,2
-213.96346015574588,3
-195.90114387935398,3
-231.75050637307615,8
-168.38988750572992,0
-168.6750023419588,0
-187.31569898195042,0
-193.2389848890846,2
-223.50645127181406,6
-176.19559048631984,1
-220.35234108197412,5
-198.52083166103242,3
-191.02542516033498,3
-200.34836933935628,2
-254.12387505841377,9
-276.5994120847186,12
-171.86998648928326,0
-183.90852419256504,0
-171.02624448866163,0
-174.03744858503444,2
-265.208606105343,11
-164.12627515879882,1
-176.4011820810648,0
-173.89674351241814,0
-180.21888874557948,2
-196.41445063263095,5
-207.3218887804089,2
-182.21623948980377,2
-255.4423836507467,10
-183.75600311895877,2
-187.32450004918599,4
-206.13754510009073,2
-170.40635500441007,0
-216.17685888421846,6
-220.24669764831646,5
-193.84875649427804,2
-232.54053539935487,8
-207.1379786330416,3
-215.8464182065925,4
-203.5941941295502,2
-295.7090184411325,16
-196.26005260626704,4
-196.42893276631065,4
-171.15778852079737,0
-184.07801118099772,1
-215.3079928026824,6
-183.3735967623104,2
-193.2604805096786,5
-231.19935798171568,7
-187.2845732728938,2
-168.92308749636553,1
-188.83914903525366,2
-167.13301913323926,1
-242.23617954494165,8
-163.0100539035142,1
-174.87531175423044,2
-224.91315185929554,6
-162.22327964484543,2
-178.72075104729356,0
-219.71251984351565,5
-239.2619472943152,9
-303.44544799669154,16
-274.2334302979997,14
-196.83600595372087,3
-231.64066146841418,8
-201.93135535204524,3
-190.88280264941122,3
-193.62811783042935,3
-232.0743951115122,8
-253.11424952797054,11
-303.6400569136866,15
-220.91143441672588,6
-245.1195658695942,8
-176.89775060671397,2
-241.00579593530298,9
-183.90437423666052,1
-165.75247355763332,0
-178.70899258382877,2
-155.85661972747428,1
-220.46853004444296,8
-192.7581764057967,2
-243.33637326034426,11
-169.4129136215463,1
-331.3348696605771,20
-259.11981581943877,12
-201.32359657717868,3
-224.24769465537804,8
-183.6989083510993,2
-183.92438159226245,2
-206.501975448681,4
-304.8133839701744,17
-191.163933101171,3
-225.3809114331708,7
-204.78979761881573,3
-173.78798743497674,1
-175.83399088826675,2
-182.0136018822259,2
-182.44366961636968,1
-205.4727123255357,5
-175.18396625320506,0
-261.86854153377436,10
-192.78576862413766,3
-265.3934887088525,13
-169.06616412346298,0
-271.4469140607714,13
-209.6051194495701,6
-312.17352494147923,17
-270.367583246517,11
-222.12217007371214,7
-179.84423710172592,1
-185.8256438337936,0
-202.6593157653102,3
-250.04297486656836,10
-248.08298532571067,11
-304.4273542682782,17
-215.79852291044517,6
-166.75254610008056,1
-155.08437471081277,0
-219.37464608603486,6
-177.57597126925467,2
-303.64770433356637,15
-215.46066886866714,6
-209.522530424979,4
-226.95827667886908,7
-223.90133823661824,6
-358.8676124440207,24
-166.99726828620197,1
-255.87540798009735,10
-177.9126186716121,1
-196.2031023829978,4
-170.99632489333217,1
-183.1676744721942,1
-250.24597353587578,9
-210.21079437137686,6
-183.58983351608654,1
-183.98137346718295,1
-200.67610026226362,2
-182.6717050286118,1
-247.57786214298315,10
-199.47773615607557,4
-157.46912711579606,1
-180.43372709826957,1
-187.5139862268378,2
-199.52956548581008,6
-228.84696204595733,7
-210.2685964289866,5
-196.8711727039392,3
-196.39579265933628,4
-169.9197977992722,0
-178.29451105134135,1
-226.91991134570122,6
-176.34642711613483,1
-247.6316593793531,10
